公司名稱,職缺名稱,工作地點,薪資待遇,完整工作內容,條件要求(學歷/科系/經歷),擅長工具與技能,職缺連結
聚贏有限公司,後端工程師,台北市中正區新生南路1段158號 (距捷運大安森林公園站約360公尺),"年薪1,000,000~1,400,000元取得專屬你的薪水報告","我們正在尋找一位 【具備良好後端開發能力與系統設計思維】的工程師，參與公司核心產品與內部系統的開發與維護。
此職位以 Backend Development 為主，主要使用 Golang 與 Laravel / PHP，並希望具備基本的 Python Script、DevOps、Container 與系統架構能力。
我們不要求你會所有技術，但希望你具備扎實的工程基礎，遇到問題時能選擇合適的工具解決，而不受限於單一語言或 Framework。
你將參與從需求分析、系統設計、API 開發、資料庫設計，到服務部署與系統維運等完整開發流程。

<工作內容>

• 使用 Golang 開發與維護 Backend Service
• 使用 Laravel / PHP 開發與維護既有系統
• 使用 Python 撰寫 Script、Automation Tool、資料處理與維運工具
• RESTful API 設計與開發
• Database Schema / Data Model 設計
• 第三方 API、Webhook 與外部服務整合
• Background Job / Queue / Async Task 開發
• 資料 Migration、Batch Processing 與系統維護工具開發
• 協助既有系統重構、效能優化與 Technical Debt 改善
• 協助服務 Containerize 與部署流程改善
• 與前端、產品及其他工程團隊合作完成產品需求
• 參與 Code Review、System Design 與技術方案討論
• 協助 Production Issue Debug、Log Analysis 與問題排查

<必要條件>

● 3 年以上 Backend Development 經驗
● 熟悉 Golang 或 PHP / Laravel，並願意使用兩者進行開發
● 具備基礎 Python 開發能力，可獨立撰寫 Script 或 Automation Tool
● 熟悉 RESTful API 設計
● 熟悉 MySQL、PostgreSQL 或其他 Relational Database
● 具備 Database Schema Design 與 SQL Optimization 基礎能力
● 熟悉 Git 與基本團隊開發流程
● 具備 Linux 基本操作能力
● 熟悉 Docker 或其他 Container 技術
● 能閱讀 Log、分析問題並處理基本 Production Issue
● 具備良好的程式設計、Code Quality 與 Maintainability 意識
● 能夠獨立完成後端功能開發與問題排查

<加分條件>

◆ 大型系統或高流量 Backend 開發經驗
◆ System Architecture Design 經驗
◆ Microservices Architecture
◆ Distributed System
◆ Event-driven Architecture
◆ Message Queue 使用經驗，例如 Kafka、NATS / JetStream、RabbitMQ、SQS
◆ Redis / Cache System
◆ 高併發系統開發
◆ Database Performance Optimization
◆ Legacy System Refactoring
◆ High Availability / Fault Tolerance
◆ Retry / Timeout / Idempotency 等可靠性設計
◆ API Gateway / Reverse Proxy 相關經驗
◆ DevOps / Infrastructure 加分（我們不要求你是專職 DevOps Engineer，但希望具備基本 Deployment 與 Infrastructure 概念。）
◆ 此職位仍以 Backend 為核心，但若具備基本 Frontend Development 能力更佳。

職務類別
後端工程師、全端工程師
工作待遇

年薪1,000,000~1,400,000元取得專屬你的薪水報告

工作性質
全職
上班地點
台北市中正區新生南路1段158號 (距捷運大安森林公園站約360公尺)
管理責任
不需負擔管理責任
出差外派
無需出差外派
上班時段
日班
休假制度
週休二日
可上班日
不限
需求人數
1人","條件要求
工作經歷
不拘
學歷要求
大學以上
科系要求
資訊工程相關、資訊管理相關
語文條件

不拘

擅長工具
Python、JavaScript、Linux、Github、PHP、MySQL、PostgreSQL、HTTP、AWS、Kubernetes

工作技能
軟體程式設計、資料庫程式設計、系統架構規劃與維護、CI/CD、軟體工程系統開發、模組化系統設計、結構化程式設計、流程自動化
其他條件

未填寫",,https://www.104.com.tw/job/8l4mm
宏燁資訊股份有限公司,前端工程師 Frontend Engineer-Angular (EAS),台北市中正區北平東路30號7樓 (距捷運善導寺站約280公尺),待遇面議,"●工作內容：
1.網站前端架構規劃與設計
2.前端功能開發、技術研究、系統維護、效能優化(Angular14+)
3.與後端工程師協作(溝通API規格、串接RESTful API)
4.參與專案、產品規劃討論，提供技術性建議以及可改善項目
5.參與 Code Review
6.關注技術與產業新知，探索並評估產品適用的設計模式、工具與技術

●技術能力:
1.開發工具使用能力（Visual Studio Code、SourceTree等）
2.具備作業平臺、網路及資料庫知識
3.熟悉 Git 版本控管基本操作
4.熟悉 Component, Directive, Pipe, Data Binding, Reactive Forms 與 Routing 等 Angular 開發基礎                                                         
5.熟悉 RxJs 處理API 資料流經驗  (使用過 Subject、BehaviorSubject 及 ReplaySubject)              
6.具備 Angular 單元測試經驗                                   
7.具備前端資安防護相關經驗

職務類別
軟體工程師、前端工程師、Internet程式設計師
工作待遇

待遇面議

（經常性薪資達 4 萬元或以上）

取得專屬你的薪水報告
工作性質
全職
上班地點
台北市中正區北平東路30號7樓 (距捷運善導寺站約280公尺)
管理責任
不需負擔管理責任
出差外派
無需出差外派
上班時段
日班
休假制度
依公司規定
可上班日
不限
需求人數
1~2人","條件要求
工作經歷
不拘
學歷要求
大學、碩士
科系要求
不拘
語文條件

不拘

擅長工具
Git、AJAX、HTML、JavaScript、CSS、Node.js、ReactJS、VueJS、Angular、MySQL、AngularJS、MS SQL

工作技能
軟體工程系統開發、軟體程式設計、網路程式設計
其他條件

未填寫",,https://www.104.com.tw/job/8ngr6
圖靈數位股份有限公司,前端工程師,台北市中正區中山北路一段2號11樓 (距捷運台北車站約310公尺),待遇面議,"工作內容：
圖靈數位專精於網站監測與數據應用的公司，您在這可以得到以下技能：
・瞭解和溝通線上資料監測的技術環境，獨立完成監測規劃並實施；
・部署和實施 Google Analytics 等網站監測工具，並維護其運行，持續採集線上資料；
・瞭解資料平臺的 API 介面，可運用適當的語言導入/匯出資料，執行多資料平臺的對接；

任職要求：
・具 HTML / Javascript / CSS 經驗者。 
・具 網頁元素事件綁定及處理經驗者。 
・具 Tag Manager（不限於 Google 平台）經驗者。 
・具 前端 API 串接（使用瀏覽器原生或套件皆可）經驗者。
・對解決問題有興趣者。 
・喜歡接觸新事物、新技術，並自我不斷提升技術水準。 
・負責任並有良好的溝通能力與團隊合作能力。 

關於我們：
圖靈數位為國內眾多知名企業輸出高質量的數據分析服務，至今已服務超過 700 家，在業界內廣泛好評。我們希望協助品牌用數據驅動決策，不要花時間學習工具，而是把目標用在數據判讀與決策，因此致力於為客戶提供基於數據的網路行銷判讀，運營，轉化方面的戰略支持與技術方法。成員大多是技術工程師組成，協助客戶收集有用的數據，了解數據，利用數據。

目前是 Google Marketing Platform、Mixpanel、AB Tasty 認證合作夥伴。

公司福利：
・只要有新人報到就會有新人聚餐。
・每月都會有生日聚餐，壽星會有公司給的小紅包。
・彈性的上班時間，不用每天早上都在跟時間賽跑。
・只要遇到補班日只上半天班，下午會有團康活動。
・老闆不時愛心餵食，沒有變胖算你厲害。
・在台北車站上班，公車捷運都方便。
・每年都有員工旅遊，可以出去走走。
・每周固定新手教學時間，保證讓你學到不少知識。

職務類別
Internet程式設計師、軟體工程師、網頁設計師
工作待遇

待遇面議

（經常性薪資達 4 萬元或以上）

取得專屬你的薪水報告
工作性質
全職
上班地點
台北市中正區中山北路一段2號11樓 (距捷運台北車站約310公尺)
管理責任
不需負擔管理責任
出差外派
無需出差外派
上班時段
日班
休假制度
週休二日
可上班日
不限
需求人數
1~2人","條件要求
工作經歷
不拘
學歷要求
專科以上
科系要求
資訊管理相關、資訊工程相關
語文條件

不拘

擅長工具
不拘
工作技能
不拘
其他條件

加分項：
1、具 前端小元件 UI 設計經驗者，例如網頁 Popup、倒計時等等元件。
2、具 前端 A / B Test 經驗者。
3、具 Javascript Framework 經驗者（ex：React, Vue）。
4、具 Sql 經驗者。

持有「數位人才探索計畫」相關證照申請者有優先面試機會（Google Analytics 4 學程，詳情請洽 Google 數位人才探索計畫網站）",,https://www.104.com.tw/job/7v0dw
艾帝浦杰股份有限公司,前端工程師(PG)(台北市中正區),台北市中正區,"月薪50,000~65,000元取得專屬你的薪水報告","1.有3年以上開發經驗
2.具備  JS 5/6+、jQuery、HTML(HTML5)、CSS(CSS)、jQuery Mobile
3.熟 JS原理，對程式架構、程式設計與 Codjng Style/Clean Code 有一定程度專案經驗，能快速上手套件使用
4.熟串接後端 Service/API
5.具良好協作與溝通能力
6.Git 版控經驗
7.Jira使用經驗

職務類別
前端工程師
工作待遇

月薪50,000~65,000元取得專屬你的薪水報告

工作性質
全職
上班地點
台北市中正區
管理責任
不需負擔管理責任
出差外派
無需出差外派
上班時段
日班
休假制度
固定休六日
可上班日
不限
需求人數
1人","條件要求
工作經歷
不拘
學歷要求
不拘
科系要求
不拘
語文條件

不拘

擅長工具
不拘
工作技能
不拘
其他條件

未填寫

歡迎所有求職者，與
夜間就讀中、
外籍人士、
原住民、
二度就業、
中高齡、
中壯齡、
僑生、
新住民
 等",,https://www.104.com.tw/job/94w8x
微笑科技股份有限公司,Flutter App 工程師,台北市萬華區長沙街 2 段 92 號 3F 之 1 (距捷運西門站約410公尺),"月薪32,000~100,000元取得專屬你的薪水報告","Flutter App 工程師｜工作內容與條件

工作內容
1. 使用 Flutter 開發與維護 iOS / Android App。
2. 實作後端 API 串接，包含商品瀏覽、訂單、會員等功能。
3. 整合第三方服務，例如定位、推播、金流、分析工具等。
4. 開發 iOS / Android 跨平台 App 功能。
5. 協助 App 上架、版本更新與跨平台問題排除。
6. 參與產品功能規劃與技術選型討論。
7. 與後端工程師協作，確保產品功能順利開發與交付。

工作條件
1. 熟悉 Flutter（Dart）開發。
2. 願意學習 iOS / Android 跨平台 App 開發，並累積實務經驗。
3. 了解基本 API 串接與 JSON 資料處理。
4. 熟悉 Git 等版本控制工具。

加分條件
1. 具備 Shopping / 電商 App 開發經驗。
2. 有訂單流程、會員系統等功能實作經驗。
3. 熟悉關聯式資料庫。
4. 具備第三方 SDK 串接經驗，例如金流、社群登入等。
5. 具備 App Store / Google Play 上架、應用內付款（In-App Purchase）串接經驗。
6. 了解原生 iOS / Android 開發，能處理必要的原生功能橋接。
7. 具備 App 效能、穩定度與使用者體驗優化經驗。
8. 對產品體驗與商業邏輯有基本理解。

其他條件
1. 具備良好溝通能力，能與團隊協作完成開發任務。
2. 對產品體驗與商業邏輯有基本理解。
3. 具備主動解決問題與學習新技術的能力。
4. 能配合團隊開發流程，並主動回報進度與問題。

職務類別
iOS工程師、Android工程師、前端工程師
工作待遇

月薪32,000~100,000元取得專屬你的薪水報告

工作性質
全職
上班地點
台北市萬華區長沙街 2 段 92 號 3F 之 1 (距捷運西門站約410公尺)
管理責任
不需負擔管理責任
出差外派
無需出差外派
上班時段
日班
休假制度
依公司規定
可上班日
不限
需求人數
1~2人","條件要求
工作經歷
不拘
學歷要求
專科、大學、碩士
科系要求
資訊工程相關
語文條件

不拘

擅長工具
Git、iOS、Flutter、Android、Dart、Github

工作技能
軟體工程系統開發、軟體程式設計、資料庫程式設計、系統架構規劃
其他條件

未填寫

歡迎所有求職者，與
應屆畢業生、
日間就讀中、
夜間就讀中、
研發替代役、
學生實習、
僑生
 等",,https://www.104.com.tw/job/91k6l
微笑科技股份有限公司,工讀生 Flutter App 工程師,台北市萬華區長沙街 2 段 92 號 3F 之 1 (距捷運西門站約410公尺),"月薪32,000~100,000元取得專屬你的薪水報告","Flutter App 工程師｜工作內容與條件

工作內容
1. 使用 Flutter 開發與維護 iOS / Android App。
2. 實作後端 API 串接，包含商品瀏覽、訂單、會員等功能。
3. 整合第三方服務，例如定位、推播、金流、分析工具等。
4. 開發 iOS / Android 跨平台 App 功能。
5. 協助 App 上架、版本更新與跨平台問題排除。
6. 參與產品功能規劃與技術選型討論。
7. 與後端工程師協作，確保產品功能順利開發與交付。

工作條件
1. 熟悉 Flutter（Dart）開發。
2. 願意學習 iOS / Android 跨平台 App 開發，並累積實務經驗。
3. 了解基本 API 串接與 JSON 資料處理。
4. 熟悉 Git 等版本控制工具。

加分條件
1. 具備 Shopping / 電商 App 開發經驗。
2. 有訂單流程、會員系統等功能實作經驗。
3. 熟悉關聯式資料庫。
4. 具備第三方 SDK 串接經驗，例如金流、社群登入等。
5. 具備 App Store / Google Play 上架、應用內付款（In-App Purchase）串接經驗。
6. 了解原生 iOS / Android 開發，能處理必要的原生功能橋接。
7. 具備 App 效能、穩定度與使用者體驗優化經驗。
8. 對產品體驗與商業邏輯有基本理解。

其他條件
1. 具備良好溝通能力，能與團隊協作完成開發任務。
2. 對產品體驗與商業邏輯有基本理解。
3. 具備主動解決問題與學習新技術的能力。
4. 能配合團隊開發流程，並主動回報進度與問題。

職務類別
iOS工程師、Android工程師、前端工程師
工作待遇

月薪32,000~100,000元取得專屬你的薪水報告

工作性質
全職
上班地點
台北市萬華區長沙街 2 段 92 號 3F 之 1 (距捷運西門站約410公尺)
管理責任
不需負擔管理責任
出差外派
無需出差外派
上班時段
日班
休假制度
依公司規定
可上班日
不限
需求人數
1~2人","條件要求
工作經歷
不拘
學歷要求
專科、大學、碩士
科系要求
資訊工程相關
語文條件

不拘

擅長工具
Git、iOS、Flutter、Android、Dart、Github

工作技能
軟體工程系統開發、軟體程式設計、資料庫程式設計、系統架構規劃
其他條件

未填寫

歡迎所有求職者，與
應屆畢業生、
日間就讀中、
夜間就讀中、
研發替代役、
學生實習、
僑生
 等",,https://www.104.com.tw/job/91k6p
住通科技股份有限公司,網頁前端工程師,台北市大同區長安西路342號八樓之1 (距捷運北門站約300公尺),待遇面議,"【工作內容】
1. Web前端程式開發。
2. RWD響應式設計開發。
3. 產品版面規劃、互動設計。
4. 與後端工程師配合行Restful API串接。

【具備技能】
1. 熟悉HTML、CSS、JavaScript、jQuery。
2.  熟悉Bootstrap。
3. Restful API介接經驗。
4. React 框架開發經驗

【加分項目】
1. React  Native。 
2. Angular框架。
3. UI/UX設計。

本職缺依法揭露薪資範圍為參考金額，實際任用薪資將依您的能力與經驗而定。

職務類別
Internet程式設計師、網頁設計師、軟體工程師
工作待遇

待遇面議

（經常性薪資達 4 萬元或以上）

取得專屬你的薪水報告
工作性質
全職
上班地點
台北市大同區長安西路342號八樓之1 (距捷運北門站約300公尺)
管理責任
不需負擔管理責任
出差外派
無需出差外派
上班時段
日班
休假制度
週休二日
可上班日
不限
需求人數
1~2人","條件要求
工作經歷
不拘
學歷要求
專科、大學
科系要求
不拘
語文條件

不拘

擅長工具
HTML、JavaScript、jQuery、Illustrator

工作技能
軟體程式設計、網路程式設計、視覺設計相關知識、網頁軟體操作
其他條件

未填寫

歡迎所有求職者，與
應屆畢業生、
原住民
 等",,https://www.104.com.tw/job/7g2fj
微笑科技股份有限公司,Flutter App 工程師,台北市萬華區長沙街 2 段 92 號 3F 之 1 (距捷運西門站約410公尺),"月薪32,000~100,000元取得專屬你的薪水報告","Osmile 誠徵 Flutter 工程師｜一起打造全球化智慧照護 App！

你熱愛 App 開發嗎？
想參與真正上線、實際被使用的產品嗎？
如果你熟悉 Flutter，並對跨平台 App、地圖定位、即時互動功能有熱情，我們正在找你加入！

職缺名稱
Flutter App 工程師（全職 / 兼職）

工作內容
使用 Flutter 開發 Android / iOS App
開發與維護智慧照護相關功能
串接 API、Firebase、地圖定位功能
優化 App 效能與 UI/UX 體驗
與設計、後端團隊合作開發新功能
協助版本上架與測試

我們希望你具備
熟悉 Flutter / Dart 開發
有 Android 或 iOS App 開發經驗
熟悉 RESTful API 串接
了解 Git 版本控制
具備良好的程式架構觀念
願意學習新技術與解決問題

⭐ 加分條件
有 Firebase 使用經驗
有地圖、定位、即時通訊相關開發經驗
有 Flutter 上架經驗
熟悉 WebSocket、推播通知
有 UI/UX 美感概念
能閱讀英文技術文件
 
關於 Osmile
Osmile 致力於打造智慧化遠端照護與全球化服務平台，
我們正在開發結合：
即時定位
遠端配對
智慧照護
AI 應用
跨國服務平台
希望透過科技真正幫助人與人之間的連結。

我們提供
參與核心產品開發
成長型團隊與發展空間
有機會參與國際市場產品

我們想找的不是只是工程師
而是願意一起打造產品、一起成長的夥伴。
如果你希望自己的程式真正被世界使用，歡迎加入 Osmile！

職務類別
iOS工程師、Android工程師、前端工程師
工作待遇

月薪32,000~100,000元取得專屬你的薪水報告

工作性質
全職
上班地點
台北市萬華區長沙街 2 段 92 號 3F 之 1 (距捷運西門站約410公尺)
管理責任
不需負擔管理責任
出差外派
無需出差外派
上班時段
日班
休假制度
週休二日
可上班日
不限
需求人數
1~2人","條件要求
工作經歷
不拘
學歷要求
專科、大學、碩士
科系要求
資訊工程相關
語文條件

英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等

擅長工具
Git、iOS、Flutter、Android、Dart、Github

工作技能
軟體工程系統開發、軟體程式設計、資料庫程式設計、系統架構規劃
其他條件

未填寫

歡迎所有求職者，與
應屆畢業生、
日間就讀中、
夜間就讀中、
研發替代役、
學生實習、
僑生
 等",,https://www.104.com.tw/job/91v70
森澤文鼎股份有限公司,【雲端產品部】軟體工程師,台北市中正區八德路1段5號4樓,待遇面議,"我們正在尋找具備HTML/CSS/JavaScript開發經驗的前端工程師，加入iFontCloud雲字庫平台團隊，在多元技術環境中與跨團隊夥伴協作，串接後端服務並打造穩定且優質的使用者介面。

主要工作內容：

1.  iFontCloud森澤文鼎雲字庫網站平台開發與維護。
2.  內部管理系統／後台工具開發與維護。
3.  與設計團隊協作，將UI/UX設計轉化為實際頁面與互動效果。


職務類別
軟體工程師、前端工程師、全端工程師
工作待遇

待遇面議

（經常性薪資達 4 萬元或以上）

取得專屬你的薪水報告
工作性質
全職
上班地點
台北市中正區八德路1段5號4樓
遠端工作
部分遠端，在職三個月後，視公司規定(一週至少到辦公室3天)或按部門規定安排
管理責任
不需負擔管理責任
出差外派
無需出差外派
上班時段
日班：08:30~09:30、17:30~18:30
休假制度
週休二日
可上班日
不限
需求人數
1人","條件要求
工作經歷
不拘
學歷要求
大學以上
科系要求
資訊工程相關、其他數學及電算機科學相關、應用數學相關
語文條件

英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂

擅長工具
Visual Studio、HTML、CSS、JavaScript、Node.js、JSP、Visual Studio .net

工作技能
軟體程式設計、軟體整合測試
其他條件

1.  具備HTML/CSS/JavaScript開發經驗。
2.  具備串接後端API經驗尤佳（如.NET、Node.js、JSP等）。
3.  開發工具：VScode、Visual Studio。
4.  具備問題分析、除錯、文件整理與團隊溝通能力。
5.  善於團隊合作與內外部的溝通協調能力

~歡迎有興趣投入雲端字型服務開發，與跨團隊合作打造穩定服務體驗的軟體工程師加入~",,https://www.104.com.tw/job/93ltw
思偉達創新科技股份有限公司,前端工程師 (技術開發部),台北市中正區博愛路80號13樓 (距捷運西門站約400公尺),"月薪45,000~65,000元取得專屬你的薪水報告","1. 基於Frontend Framework之上，與團隊共同設計、開發、維護系統功能
2. 熟悉Vue.js、HTML、CSS、Javascript、RWD網頁切版。
3. 建立並串聯數據與 API 於前臺應用
4. 解決各種瀏覽器/尺寸相容問題
5. 網頁GA設定
6. 編寫開發文件
7.以前端為主，後端支援開發(雲端部署與CICD)
※目前主要框架為VUE2、VUE3

在這個職位上，您將有機會參與公司的核心產品開發，與其他團隊成員密切合作，共同打造最好的產品。
如果您符合以上要求，並對我們的公司和職位感興趣，請盡快投遞您的簡歷。我們期待著與您共事！

職務類別
前端工程師、軟體工程師、AI工程師
工作待遇

月薪45,000~65,000元取得專屬你的薪水報告

工作性質
全職
上班地點
台北市中正區博愛路80號13樓 (距捷運西門站約400公尺)
管理責任
不需負擔管理責任
出差外派
無需出差外派
上班時段
日班
休假制度
週休二日
可上班日
兩週內
需求人數
1人","條件要求
工作經歷
不拘
學歷要求
專科以上
科系要求
不拘
語文條件

不拘

擅長工具
CSS、JavaScript、VueJS、Claude

工作技能
軟體程式設計、軟體工程系統開發
其他條件

1. 具備串接後端API經驗
2. 熟悉vue.js 框架，並具開發經驗
3. 熟悉HTML5、CSS3、JavaScript ES6
4. 具備獨立開發之能力
5. 瞭解RESTFul API觀念及有串接經驗
6. 熟悉基本前端開發工具如Node.js Yarn Npm等
7. 攜帶作品，包含前端互動與API整合。(加分條件)

歡迎所有求職者，與
應屆畢業生、
日間就讀中、
夜間就讀中、
研發替代役、
外籍人士、
原住民、
學生實習、
二度就業、
中高齡、
高齡、
更生人、
中壯齡、
僑生、
新住民
 等",,https://www.104.com.tw/job/957nu
